timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624858917849,156,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-958,text,true,,265,128,50,50,http://localhost/api/Values/Get,156,0,1
1624858917867,138,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-996,text,true,,265,128,50,50,http://localhost/api/Values/Get,138,0,1
1624858917867,154,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-980,text,true,,265,128,51,51,http://localhost/api/Values/Get,154,0,1
1624858917880,156,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-998,text,true,,265,128,52,52,http://localhost/api/Values/Get,156,0,2
1624858917869,167,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-957,text,true,,265,128,52,52,http://localhost/api/Values/Get,167,0,1
1624858917868,170,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-977,text,true,,265,128,52,52,http://localhost/api/Values/Get,170,0,1
1624858917868,171,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-978,text,true,,265,128,52,52,http://localhost/api/Values/Get,170,0,1
1624858917868,172,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-979,text,true,,265,128,52,52,http://localhost/api/Values/Get,172,0,1
1624858917875,176,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-985,text,true,,265,128,53,53,http://localhost/api/Values/Get,176,0,2
1624858917879,189,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-989,text,true,,265,128,54,54,http://localhost/api/Values/Get,189,0,4
1624858917878,205,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-984,text,true,,265,128,54,54,http://localhost/api/Values/Get,205,0,5
1624858917879,205,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-999,text,true,,265,128,54,54,http://localhost/api/Values/Get,205,0,4
1624858917878,206,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-991,text,true,,265,128,54,54,http://localhost/api/Values/Get,206,0,5
1624858917879,206,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-995,text,true,,265,128,54,54,http://localhost/api/Values/Get,206,0,4
1624858917880,205,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-994,text,true,,265,128,54,54,http://localhost/api/Values/Get,205,0,3
1624858917875,212,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-992,text,true,,265,128,54,54,http://localhost/api/Values/Get,212,0,3
1624858917878,221,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-1000,text,true,,265,128,55,55,http://localhost/api/Values/Get,221,0,5
1624858917879,236,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-982,text,true,,265,128,56,56,http://localhost/api/Values/Get,236,0,4
1624858917879,236,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-997,text,true,,265,128,56,56,http://localhost/api/Values/Get,236,0,4
1624858917880,250,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-988,text,true,,265,128,57,57,http://localhost/api/Values/Get,250,0,2
1624858917880,250,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-981,text,true,,265,128,57,57,http://localhost/api/Values/Get,250,0,3
1624858917888,243,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-956,text,true,,265,128,57,57,http://localhost/api/Values/Get,243,0,1
1624858917879,252,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-993,text,true,,265,128,57,57,http://localhost/api/Values/Get,252,0,4
1624858917877,259,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-986,text,true,,265,128,57,57,http://localhost/api/Values/Get,259,0,5
1624858917880,266,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-987,text,true,,265,128,57,57,http://localhost/api/Values/Get,266,0,2
1624858917880,266,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-983,text,true,,265,128,57,57,http://localhost/api/Values/Get,266,0,2
1624858917878,284,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-990,text,true,,265,128,58,58,http://localhost/api/Values/Get,284,0,4
1624858917898,264,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-976,text,true,,265,128,58,58,http://localhost/api/Values/Get,264,0,0
1624858917910,268,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-975,text,true,,265,128,59,59,http://localhost/api/Values/Get,268,0,2
1624858917908,270,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-955,text,true,,265,128,59,59,http://localhost/api/Values/Get,270,0,1
1624858917911,267,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-974,text,true,,265,128,59,59,http://localhost/api/Values/Get,267,0,1
1624858917910,268,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-971,text,true,,265,128,59,59,http://localhost/api/Values/Get,268,0,1
1624858917914,267,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-973,text,true,,265,128,59,59,http://localhost/api/Values/Get,266,0,1
1624858917928,266,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-954,text,true,,265,128,60,60,http://localhost/api/Values/Get,266,0,1
1624858917914,280,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-972,text,true,,265,128,60,60,http://localhost/api/Values/Get,280,0,1
1624858917941,269,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-970,text,true,,265,128,61,61,http://localhost/api/Values/Get,269,0,1
1624858917948,262,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-953,text,true,,265,128,61,61,http://localhost/api/Values/Get,262,0,1
1624858917941,271,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-969,text,true,,265,128,61,61,http://localhost/api/Values/Get,271,0,1
1624858917941,272,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-968,text,true,,265,128,61,61,http://localhost/api/Values/Get,272,0,1
1624858917960,266,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-965,text,true,,265,128,61,61,http://localhost/api/Values/Get,266,0,1
1624858917957,269,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-966,text,true,,265,128,61,61,http://localhost/api/Values/Get,269,0,0
1624858917957,269,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-967,text,true,,265,128,61,61,http://localhost/api/Values/Get,269,0,1
1624858917973,269,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-963,text,true,,265,128,62,62,http://localhost/api/Values/Get,269,0,1
1624858917988,270,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-951,text,true,,265,128,63,63,http://localhost/api/Values/Get,270,0,2
1624858917968,290,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-952,text,true,,265,128,63,63,http://localhost/api/Values/Get,290,0,1
1624858917989,269,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-961,text,true,,265,128,63,63,http://localhost/api/Values/Get,269,0,1
1624858917989,269,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-960,text,true,,265,128,63,63,http://localhost/api/Values/Get,269,0,1
1624858917974,285,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-964,text,true,,265,128,63,63,http://localhost/api/Values/Get,285,0,1
1624858917990,270,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-962,text,true,,265,128,63,63,http://localhost/api/Values/Get,270,0,0
1624858918005,269,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-958,text,true,,265,128,64,64,http://localhost/api/Values/Get,269,0,1
1624858918039,251,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-977,text,true,,265,128,65,65,http://localhost/api/Values/Get,251,0,2
1624858918005,285,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-996,text,true,,265,128,65,65,http://localhost/api/Values/Get,285,0,1
1624858918005,286,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-959,text,true,,265,128,65,65,http://localhost/api/Values/Get,286,0,1
1624858918022,269,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-980,text,true,,265,128,65,65,http://localhost/api/Values/Get,269,0,0
1624858918009,285,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-950,text,true,,265,128,65,65,http://localhost/api/Values/Get,285,0,0
1624858918037,268,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-998,text,true,,265,128,65,65,http://localhost/api/Values/Get,268,0,1
1624858918040,265,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-979,text,true,,265,128,65,65,http://localhost/api/Values/Get,265,0,1
1624858918037,284,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-957,text,true,,265,128,66,66,http://localhost/api/Values/Get,284,0,4
1624858918039,298,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-978,text,true,,265,128,67,67,http://localhost/api/Values/Get,298,0,0
1624858918052,285,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-985,text,true,,265,128,67,67,http://localhost/api/Values/Get,285,0,0
1624858918068,269,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-947,text,true,,265,128,67,67,http://localhost/api/Values/Get,269,0,1
1624858918068,269,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-989,text,true,,265,128,67,67,http://localhost/api/Values/Get,269,0,1
1624858918028,309,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-949,text,true,,265,128,67,67,http://localhost/api/Values/Get,309,0,1
1624858918048,293,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-948,text,true,,265,128,67,67,http://localhost/api/Values/Get,293,0,1
1624858918084,269,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-999,text,true,,265,128,68,68,http://localhost/api/Values/Get,269,0,1
1624858918085,284,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-994,text,true,,265,128,69,69,http://localhost/api/Values/Get,284,0,1
1624858918084,285,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-984,text,true,,265,128,69,69,http://localhost/api/Values/Get,285,0,1
1624858918084,286,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-991,text,true,,265,128,69,69,http://localhost/api/Values/Get,286,0,1
1624858918108,277,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-945,text,true,,265,128,69,69,http://localhost/api/Values/Get,277,0,1
1624858918085,300,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-995,text,true,,265,128,69,69,http://localhost/api/Values/Get,300,0,1
1624858918088,297,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-946,text,true,,265,128,69,69,http://localhost/api/Values/Get,297,0,1
1624858918088,297,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-992,text,true,,265,128,69,69,http://localhost/api/Values/Get,297,0,0
1624858918100,301,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-1000,text,true,,265,128,70,70,http://localhost/api/Values/Get,301,0,0
1624858918116,300,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-997,text,true,,265,128,71,71,http://localhost/api/Values/Get,300,0,0
1624858918131,285,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-988,text,true,,265,128,71,71,http://localhost/api/Values/Get,285,0,1
1624858918116,300,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-982,text,true,,265,128,71,71,http://localhost/api/Values/Get,300,0,0
1624858918131,300,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-981,text,true,,265,128,72,72,http://localhost/api/Values/Get,300,0,1
1624858918131,300,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-993,text,true,,265,128,72,72,http://localhost/api/Values/Get,300,0,1
1624858918129,302,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-944,text,true,,265,128,72,72,http://localhost/api/Values/Get,302,0,1
1624858918136,311,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-986,text,true,,265,128,72,72,http://localhost/api/Values/Get,311,0,1
1624858918147,300,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-983,text,true,,265,128,72,72,http://localhost/api/Values/Get,300,0,0
1624858918131,316,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-956,text,true,,265,128,72,72,http://localhost/api/Values/Get,316,0,1
1624858918147,300,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-987,text,true,,265,128,72,72,http://localhost/api/Values/Get,300,0,0
1624858918148,315,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-943,text,true,,265,128,73,73,http://localhost/api/Values/Get,315,0,1
1624858918163,300,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-990,text,true,,265,128,73,73,http://localhost/api/Values/Get,300,0,1
